method,recall@1,recall@3,recall@5,recall@10,mrr,n
bm25,0.7258,0.8763,0.9264,0.9532,0.8125,299
dense,0.7224,0.9064,0.9331,0.9632,0.8157,299
hybrid,0.7592,0.9398,0.9666,0.9766,0.8477,299
